station_id;name;numbikesavailable;mechanical;ebike;numdocksavailable;timestamp;date;hour;weekday
16107;Benjamin Godard - Victor Hugo;2;2;0;33;2025-06-05 10:03:56;2025-06-05;10;Thursday
40001;Hôpital Mondor;20;13;7;7;2025-06-05 10:03:14;2025-06-05;10;Thursday
44015;Rouget de L'isle - Watteau;15;6;9;5;2025-06-05 10:04:27;2025-06-05;10;Thursday
14014;Jourdan - Stade Charléty;4;2;2;54;2025-06-05 10:04:14;2025-06-05;10;Thursday
32017;Basilique;4;3;1;18;2025-06-05 10:01:22;2025-06-05;10;Thursday
11104;Charonne - Robert et Sonia Delaunay;0;0;0;20;2025-06-05 10:01:47;2025-06-05;10;Thursday
7002;Vaneau - Sèvres;2;2;0;30;2025-06-05 10:04:36;2025-06-05;10;Thursday
5110;Lacépède - Monge;5;1;4;18;2025-06-05 10:03:33;2025-06-05;10;Thursday
33006;André Karman - République;14;10;4;13;2025-06-05 10:02:47;2025-06-05;10;Thursday
40011;Bas du Mont-Mesly;27;16;11;0;2025-06-05 09:59:44;2025-06-05;9;Thursday
11025;Froment - Bréguet;16;14;2;26;2025-06-05 10:04:30;2025-06-05;10;Thursday
17026;Jouffroy d'Abbans - Wagram;6;1;5;33;2025-06-05 10:04:31;2025-06-05;10;Thursday
12109;Mairie du 12ème;9;5;4;20;2025-06-05 09:58:42;2025-06-05;9;Thursday
8050;Boétie - Ponthieu;40;21;19;3;2025-06-05 10:04:26;2025-06-05;10;Thursday
31024;Romainville - Vaillant-Couturier;1;0;1;37;2025-06-05 10:02:03;2025-06-05;10;Thursday
40016;Sarrazins - Saussure;0;0;0;22;2025-02-05 10:35:03;2025-02-05;10;Wednesday
17044;Porte de Saint-Ouen - Bessières;2;2;0;39;2025-06-05 10:02:19;2025-06-05;10;Thursday
19033;Cambrai - Benjamin Constant;7;2;5;35;2025-06-05 10:01:51;2025-06-05;10;Thursday
17025;Chazelles - Courcelles;4;1;3;29;2025-06-05 10:04:15;2025-06-05;10;Thursday
21326;Moulin de Pierre - Abbé Grégoire;4;0;4;16;2025-06-05 09:54:37;2025-06-05;9;Thursday
20143;Ramponeau - Belleville;3;1;2;41;2025-06-05 09:59:41;2025-06-05;9;Thursday
16138;Saint-Cloud - Hippodrome;4;3;1;25;2025-06-05 10:02:44;2025-06-05;10;Thursday
21216;Louis Lejeune - Barbès;1;1;0;24;2025-06-05 09:59:01;2025-06-05;9;Thursday
15068;Général Martial Valin - Pont du Garigliano;9;7;2;6;2025-06-05 10:03:47;2025-06-05;10;Thursday
22207;Rond-point du Dr Albert Schweitzer;2;0;2;20;2025-06-05 10:00:40;2025-06-05;10;Thursday
17048;De Toqueville - Terrasse;5;2;3;23;2025-06-05 09:59:36;2025-06-05;9;Thursday
44017;Jules Guesde - Pont du Port à l'Anglais;25;21;4;3;2025-06-05 10:04:17;2025-06-05;10;Thursday
44010;8 Mai 1945 - 10 Juillet 1940;24;17;7;5;2025-06-05 10:01:40;2025-06-05;10;Thursday
9008;Tour d'Auvergne - Rodier;0;0;0;16;2025-06-05 10:03:45;2025-06-05;10;Thursday
13030;Italie - Tolbiac;3;0;3;16;2025-06-05 10:04:34;2025-06-05;10;Thursday
19027;Serrurier;0;0;0;0;2025-05-21 06:48:59;2025-05-21;6;Wednesday
18111;Félix Ziem - Armand Gauthier;1;0;1;23;2025-06-05 10:00:43;2025-06-05;10;Thursday
9002;Abbeville - Faubourg Poissonnière;0;0;0;12;2025-06-05 10:04:36;2025-06-05;10;Thursday
48003;Youri Gagarine - Karl Marx;2;2;0;19;2025-06-05 09:55:23;2025-06-05;9;Thursday
43009;Place Jean-Spire-Lemaître;2;2;0;48;2025-06-05 10:00:55;2025-06-05;10;Thursday
17032;Jean Oestreicher - Porte de Champerret;6;5;1;15;2025-06-05 10:03:54;2025-06-05;10;Thursday
8016;Square Louis XVI;20;16;4;6;2025-06-05 10:01:59;2025-06-05;10;Thursday
10115;Granges aux Belles;1;0;1;25;2025-06-05 10:00:22;2025-06-05;10;Thursday
10161;Gare de l'Est - Faubourg-Saint-Martin;0;0;0;32;2025-06-05 10:02:06;2025-06-05;10;Thursday
41303;Gare de Nogent-le-Perreux;23;22;1;9;2025-06-05 10:03:58;2025-06-05;10;Thursday
12031;Gabriel Lamé;31;29;2;2;2025-06-05 10:03:06;2025-06-05;10;Thursday
1001;Quai de l'Horloge - Pont Neuf;14;10;4;3;2025-06-05 09:59:11;2025-06-05;9;Thursday
13104;Gare d'Austerlitz - Quai Saint-Bernard;11;8;3;16;2025-06-05 09:58:01;2025-06-05;9;Thursday
31103;Gare Rosny-Bois-Perrier;16;7;9;18;2025-06-05 09:59:51;2025-06-05;9;Thursday
8053;Place Georges Guillaumin;25;9;16;4;2025-06-05 10:02:06;2025-06-05;10;Thursday
9014;Faubourg Montmartre - La Fayette;10;8;2;24;2025-06-05 10:03:41;2025-06-05;10;Thursday
19105;Ambroise Rendu - Porte Brunet;2;1;1;14;2025-06-05 10:01:23;2025-06-05;10;Thursday
22409;Henri Barbusse - Stalingrad;1;0;1;13;2025-06-05 10:01:18;2025-06-05;10;Thursday
19015;Thionville - Ourcq;1;1;0;23;2025-06-05 10:04:09;2025-06-05;10;Thursday
17004;Legendre - Clichy;3;3;0;37;2025-06-05 10:03:51;2025-06-05;10;Thursday
19003;Quai de la Seine;3;1;2;21;2025-06-05 09:56:43;2025-06-05;9;Thursday
12151;Gare de Lyon - Place Louis Armand;57;46;11;3;2025-06-05 10:03:46;2025-06-05;10;Thursday
16026;Ranelagh - Mozart;1;0;1;7;2025-06-05 09:59:11;2025-06-05;9;Thursday
17043;Belidor - Gouvion-Saint-Cyr;5;4;1;34;2025-06-05 09:59:23;2025-06-05;9;Thursday
19026;Place de Rhin et Danube;2;0;2;13;2025-06-05 10:01:01;2025-06-05;10;Thursday
16039;Exelmans - Versailles;5;3;2;43;2025-06-05 10:04:34;2025-06-05;10;Thursday
11023;Saint-Maur - Roquette;3;2;1;41;2025-06-05 10:02:15;2025-06-05;10;Thursday
45003;11 Novembre 1918 - 8 Mai 1945;8;7;1;28;2025-06-05 10:02:02;2025-06-05;10;Thursday
11002;Roquette - Thiéré;6;1;5;15;2025-06-05 09:58:34;2025-06-05;9;Thursday
12111;Claude Decaen - Cannebière;5;2;3;40;2025-06-05 10:02:05;2025-06-05;10;Thursday
5032;Panthéon - Valette;35;2;33;2;2025-06-05 10:04:25;2025-06-05;10;Thursday
15067;Desaix - Edgar Faure;7;0;7;4;2025-06-05 10:02:31;2025-06-05;10;Thursday
17030;Pereire - Rennequin;2;0;2;20;2025-06-05 10:01:47;2025-06-05;10;Thursday
12128;Pyramide - Ecole du Breuil;13;10;3;21;2025-06-05 10:02:01;2025-06-05;10;Thursday
31022;Mairie de Montreuil;6;5;1;45;2025-06-05 10:01:21;2025-06-05;10;Thursday
46002;Rouget de Lisle;14;10;4;20;2025-06-05 10:04:28;2025-06-05;10;Thursday
31009;Place Du Général De Gaulle;2;0;2;24;2025-06-05 09:56:39;2025-06-05;9;Thursday
41302;Charles de Gaulle - Beauté;1;0;1;48;2025-06-05 10:04:18;2025-06-05;10;Thursday
33017;Anatole France - President Roosevelt;7;5;2;21;2025-06-05 10:04:24;2025-06-05;10;Thursday
21212;Marne - Germain Dardan;3;0;3;16;2025-06-05 10:04:27;2025-06-05;10;Thursday
44006;Concorde - Stalingrad;7;4;3;26;2025-06-05 10:03:30;2025-06-05;10;Thursday
11113;Richard Lenoir - Republique;7;5;2;51;2025-06-05 10:02:44;2025-06-05;10;Thursday
15104;Hôpital Européen Georges Pompidou;59;56;3;3;2025-06-05 10:03:09;2025-06-05;10;Thursday
14003;Schoelcher - Raspail;1;0;1;49;2025-06-05 09:58:33;2025-06-05;9;Thursday
43008;Fontenay - Libération;4;3;1;21;2025-06-05 10:01:13;2025-06-05;10;Thursday
5018;Mutualité;10;5;5;24;2025-06-05 10:02:00;2025-06-05;10;Thursday
19101;Square Simon Bolivar;0;0;0;24;2025-06-05 10:03:35;2025-06-05;10;Thursday
21312;Lucie Aubrac - Fort;3;0;3;27;2025-06-05 10:03:51;2025-06-05;10;Thursday
13001;Port-Royal - Hôpital du Val-de-Grâce;5;1;4;13;2025-06-05 10:01:24;2025-06-05;10;Thursday
5124;Erasme - Ulm;19;7;12;5;2025-06-05 10:03:15;2025-06-05;10;Thursday
14106;Marc Sangnier - Porte de Vanves;2;1;1;19;2025-06-05 09:58:43;2025-06-05;9;Thursday
31102;Boissière - Etienne Dolet;3;1;2;18;2025-06-05 10:02:22;2025-06-05;10;Thursday
2111;Chabanais - Petits Champs;23;15;8;7;2025-06-05 10:03:48;2025-06-05;10;Thursday
15109;Cevennes - Bergers;4;2;2;25;2025-06-05 10:00:30;2025-06-05;10;Thursday
21209;Molière - République;1;0;1;29;2025-06-05 10:04:00;2025-06-05;10;Thursday
14012;Sibelle - Alésia;1;0;1;36;2025-06-05 10:03:25;2025-06-05;10;Thursday
10042;Enghien - Faubourg Poissonnière;17;10;7;14;2025-06-05 10:00:05;2025-06-05;10;Thursday
19103;Manin - Carrières d'Amérique;1;0;1;17;2025-06-05 09:59:19;2025-06-05;9;Thursday
17203;Place de la Porte de Champeret;2;2;0;26;2025-06-05 10:02:49;2025-06-05;10;Thursday
42014;Place Marcel Cachin;22;22;0;10;2025-06-05 10:04:23;2025-06-05;10;Thursday
15133;Saint Lambert - Blomet;3;1;2;24;2025-06-05 09:57:20;2025-06-05;9;Thursday
16202;Commandant Schloesing - Pétrarque;0;0;0;30;2025-05-23 15:36:48;2025-05-23;15;Friday
44013;Edouard Tremblay - Julian Grimaux;10;9;1;17;2025-06-05 10:01:47;2025-06-05;10;Thursday
21015;Nationale - Place Jules Guesde;9;8;1;12;2025-06-05 10:03:48;2025-06-05;10;Thursday
44003;Gabriel Péri - Danielle Casanova;7;7;0;13;2025-06-05 09:58:34;2025-06-05;9;Thursday
15034;Lakanal - Commerce;47;43;4;2;2025-06-05 10:04:30;2025-06-05;10;Thursday
5028;Censier - Jardin des Plantes;19;16;3;6;2025-06-05 10:03:38;2025-06-05;10;Thursday
22203;Tertres - Fontaine;8;7;1;20;2025-06-05 09:55:36;2025-06-05;9;Thursday
42021;Raspail - Manufacture des Oeillets;23;20;3;9;2025-06-05 10:03:55;2025-06-05;10;Thursday
1119;Cossonnerie - Sébastopol;16;9;7;8;2025-06-05 10:04:08;2025-06-05;10;Thursday
35020;Marcelle - Thalie;0;0;0;19;2025-06-05 10:01:21;2025-06-05;10;Thursday
1020;Cambon - Rivoli;34;16;18;3;2025-06-05 10:04:18;2025-06-05;10;Thursday
20115;Louis Lumière - Porte de Bagnolet;2;1;1;18;2025-06-05 10:00:28;2025-06-05;10;Thursday
31003;Paris - Emile Zola;13;11;2;17;2025-06-05 10:04:11;2025-06-05;10;Thursday
22402;Jean Jaurès - Salvador Allende;3;2;1;40;2025-06-05 10:01:46;2025-06-05;10;Thursday
9116;Victoire - Chaussée d'Antin;18;12;6;5;2025-06-05 10:03:26;2025-06-05;10;Thursday
11030;Oberkampf - République;1;1;0;23;2025-06-05 10:03:32;2025-06-05;10;Thursday
11039;Richard Lenoir - Jean-Pierre Timbaud;3;1;2;32;2025-06-05 10:02:45;2025-06-05;10;Thursday
17013;Legendre - Dulong;4;1;3;19;2025-06-05 09:59:10;2025-06-05;9;Thursday
32604;Square du Théâtre du Garde-Chasse;0;0;0;50;2025-06-05 10:03:32;2025-06-05;10;Thursday
19024;Botzaris - Parc des Buttes Chaumont;0;0;0;20;2025-06-05 10:03:17;2025-06-05;10;Thursday
23006;Jules Guesde - Alsace;21;11;10;4;2025-06-05 10:03:35;2025-06-05;10;Thursday
17105;Place Madeleine Daniélou;10;5;5;31;2025-06-05 10:03:50;2025-06-05;10;Thursday
18009;Jean-François Lépine - Stephenson;6;1;5;15;2025-06-05 10:00:27;2025-06-05;10;Thursday
16108;Sablons - Georges Mandel;1;0;1;37;2025-06-05 09:58:35;2025-06-05;9;Thursday
22003;Beffroy;18;11;7;6;2025-06-05 10:03:30;2025-06-05;10;Thursday
13050;Quai Panhard et Levassor;55;47;8;1;2025-06-05 10:03:41;2025-06-05;10;Thursday
22016;Charles de Gaulle - Sablonville;8;3;5;18;2025-06-05 10:03:39;2025-06-05;10;Thursday
14136;Auguste Cain - Jean Moulin;1;0;1;38;2025-06-05 10:04:09;2025-06-05;10;Thursday
10014;Marseille - Beaurepaire;15;14;1;40;2025-06-05 10:04:12;2025-06-05;10;Thursday
11035;Parmentier - Abel Rabaud;2;0;2;46;2025-06-05 10:02:29;2025-06-05;10;Thursday
16040;Exelmans - Michel-Ange;18;7;11;14;2025-06-05 10:03:00;2025-06-05;10;Thursday
22006;Pierret - Madrid;19;13;6;9;2025-06-05 10:03:29;2025-06-05;10;Thursday
21301;Saint-Vincent - Verdun;21;21;0;11;2025-06-05 10:04:09;2025-06-05;10;Thursday
42302;Aristide Briand - Gare de Bagneux;4;1;3;18;2025-06-05 09:56:35;2025-06-05;9;Thursday
19016;Hautpoul - Jean Jaurès;2;1;1;29;2025-06-05 10:01:34;2025-06-05;10;Thursday
32026;Leroy des Barres - Médiathèque;22;18;4;3;2025-06-05 10:04:20;2025-06-05;10;Thursday
9005;Square d'Anvers;1;0;1;31;2025-06-05 09:58:45;2025-06-05;9;Thursday
8025;Miromesnil - La Boétie;26;20;6;8;2025-06-05 10:03:14;2025-06-05;10;Thursday
12204;Prague - Théophile Roussel;6;4;2;16;2025-06-05 10:03:45;2025-06-05;10;Thursday
20121;Boyer - Ménilmontant;1;0;1;18;2025-06-05 09:56:20;2025-06-05;9;Thursday
42301;Gare Arcueil - Cachan;6;4;2;18;2025-06-05 10:04:19;2025-06-05;10;Thursday
43003;Hôpital Bégin;13;9;4;11;2025-06-05 10:04:35;2025-06-05;10;Thursday
42504;Gare RER de Gentilly;2;1;1;28;2025-06-05 10:01:28;2025-06-05;10;Thursday
20111;Villiers de l'Isle Adam - Pyrénées;1;0;1;19;2025-06-05 10:04:22;2025-06-05;10;Thursday
42015;Place Jean Ferrat;1;0;1;24;2025-06-05 09:59:45;2025-06-05;9;Thursday
31010;Stalingrad - Désiré Chevalier;2;1;1;40;2025-06-05 10:02:58;2025-06-05;10;Thursday
19008;Flandre - Alphonse Karr;5;2;3;18;2025-06-05 10:04:17;2025-06-05;10;Thursday
11004;Charonne - Faubourg Saint-Antoine;30;27;3;2;2025-06-05 10:04:30;2025-06-05;10;Thursday
92008;Hôtel de Ville de Nanterre;9;8;1;28;2025-06-05 10:00:27;2025-06-05;10;Thursday
51004;Général Delambre - Prebuard;14;6;8;15;2025-06-05 10:03:54;2025-06-05;10;Thursday
18012;Stephenson - Doudeauville;3;2;1;33;2025-06-05 09:55:00;2025-06-05;9;Thursday
19125;Place de l'Édit de Nantes;3;0;3;22;2025-06-05 10:00:50;2025-06-05;10;Thursday
5123;Saint-Germain - Thenard;7;4;3;24;2025-06-05 10:02:58;2025-06-05;10;Thursday
11036;Jules Ferry - Faubourg du Temple Paris;5;4;1;49;2025-06-05 10:03:56;2025-06-05;10;Thursday
21313;Guynemer - Séverine;22;20;2;3;2025-06-05 10:00:03;2025-06-05;10;Thursday
26007;Square Gilbert Thomain;15;8;7;4;2025-06-05 09:59:33;2025-06-05;9;Thursday
11007;Jean Macé - Faidherbe;18;13;5;43;2025-06-05 10:04:20;2025-06-05;10;Thursday
15025;Dupleix - du Guesclin;27;25;2;19;2025-06-05 10:04:32;2025-06-05;10;Thursday
35018;Ancien Canal - Hélène Brion;17;14;3;5;2025-06-05 10:02:34;2025-06-05;10;Thursday
10113;Parmentier - Hôpital Saint-Louis;2;0;2;39;2025-06-05 10:03:57;2025-06-05;10;Thursday
17011;Fragonard - Porte de Clichy;28;22;6;24;2025-06-05 10:02:40;2025-06-05;10;Thursday
17045;Place des Ternes.;19;14;5;26;2025-06-05 10:03:58;2025-06-05;10;Thursday
12013;Montgallet - Reuilly;3;2;1;12;2025-06-05 09:57:36;2025-06-05;9;Thursday
11115;Montreuil - Gonnet;6;4;2;18;2025-06-05 10:02:58;2025-06-05;10;Thursday
7015;Varenne;22;15;7;24;2025-06-05 10:01:54;2025-06-05;10;Thursday
6013;Jacques Callot - Mazarine;27;18;9;1;2025-06-05 10:00:27;2025-06-05;10;Thursday
32303;Gaston Roussel - Commune de Paris;0;0;0;0;2018-08-13 06:11:15;2018-08-13;6;Monday
8033;Commandant Rivière;39;31;8;3;2025-06-05 10:04:36;2025-06-05;10;Thursday
16121;Jardin d'Acclimatation;17;11;6;14;2025-06-05 10:04:31;2025-06-05;10;Thursday
17037;Bayen - Pereire;2;1;1;19;2025-06-05 10:02:27;2025-06-05;10;Thursday
33003;Bordier - Félix Faure;14;11;3;34;2025-06-05 10:03:19;2025-06-05;10;Thursday
33009;Félix Faure - Sadi Carnot;22;19;3;10;2025-06-05 10:04:11;2025-06-05;10;Thursday
25005;18 juin 1940 - Buzenval;4;0;4;20;2025-06-05 10:01:27;2025-06-05;10;Thursday
14034;Ouest - Château;2;0;2;21;2025-06-05 10:00:02;2025-06-05;10;Thursday
32010;Place aux Étoiles;30;7;23;10;2025-06-05 10:04:11;2025-06-05;10;Thursday
24002;Gare de Courbevoie;7;2;5;27;2025-06-05 10:03:49;2025-06-05;10;Thursday
16034;Porte d'Auteuil;11;5;6;22;2025-06-05 10:01:13;2025-06-05;10;Thursday
7009;Assemblée Nationale;51;32;19;24;2025-06-05 10:01:38;2025-06-05;10;Thursday
42707;Place Jean-Baptiste Clément;2;0;2;22;2025-06-05 10:00:54;2025-06-05;10;Thursday
35009;Jean Lolive - Parc Stalingrad;3;1;2;17;2025-06-05 10:04:15;2025-06-05;10;Thursday
8055;Courcelles - Place des Ternes;2;0;2;29;2025-06-04 15:13:27;2025-06-04;15;Wednesday
21109;Guichet - Jean Jaurès;8;5;3;19;2025-06-05 10:02:14;2025-06-05;10;Thursday
23701;Parvis Robert Schuman - Roger Salengro;8;4;4;14;2025-06-05 09:59:55;2025-06-05;9;Thursday
17007;Navier - Epinettes;4;0;4;50;2025-06-05 09:58:34;2025-06-05;9;Thursday
21502;Verdun - Place Henri IV;25;21;4;0;2025-06-05 10:03:01;2025-06-05;10;Thursday
35019;Anatole France - Jean Lolive;15;11;4;12;2025-06-05 10:03:11;2025-06-05;10;Thursday
20113;Piat - Parc de Belleville;1;0;1;20;2025-06-05 10:00:19;2025-06-05;10;Thursday
20119;Square des Saint-Simoniens;2;0;2;23;2025-06-05 09:56:48;2025-06-05;9;Thursday
19019;Petit - Manin;4;0;4;15;2025-06-05 10:00:17;2025-06-05;10;Thursday
15017;Place Falguière;2;0;2;21;2025-06-05 09:57:18;2025-06-05;9;Thursday
17018;Parc Monceau;9;6;3;8;2025-06-05 09:59:11;2025-06-05;9;Thursday
18005;Tardieu - Chappe;0;0;0;18;2025-06-05 10:04:12;2025-06-05;10;Thursday
26001;Gare d'Asnières sur Seine;19;18;1;4;2025-06-05 10:04:31;2025-06-05;10;Thursday
92004;Nanterre - Université;3;2;1;17;2025-06-05 09:58:02;2025-06-05;9;Thursday
20136;Henri Chevreau - Couronnes;1;0;1;26;2025-06-05 09:57:45;2025-06-05;9;Thursday
