station_id;name;numbikesavailable;mechanical;ebike;numdocksavailable;timestamp;date;hour;weekday
40001;Hôpital Mondor;20;13;7;7;2025-06-05 12:03:32;2025-06-05;12;Thursday
9020;Toudouze - Clauzel;4;2;2;17;2025-06-05 12:00:39;2025-06-05;12;Thursday
14111;Cassini - Denfert-Rochereau;2;1;1;22;2025-06-05 12:03:37;2025-06-05;12;Thursday
8026;Messine - Place Du Pérou;8;4;4;4;2025-06-05 12:00:15;2025-06-05;12;Thursday
13007;Le Brun - Gobelins;11;9;2;35;2025-06-05 12:04:49;2025-06-05;12;Thursday
6003;Saint-Sulpice;7;5;2;11;2025-06-05 12:04:46;2025-06-05;12;Thursday
7002;Vaneau - Sèvres;6;1;5;26;2025-06-05 12:04:46;2025-06-05;12;Thursday
5110;Lacépède - Monge;4;2;2;19;2025-06-05 12:04:33;2025-06-05;12;Thursday
40011;Bas du Mont-Mesly;25;16;9;2;2025-06-05 11:59:43;2025-06-05;11;Thursday
25006;Place Nelson Mandela;2;0;2;19;2025-06-05 12:01:00;2025-06-05;12;Thursday
32304;Charcot - Benfleet;4;0;4;24;2025-06-05 12:02:59;2025-06-05;12;Thursday
17041;Guersant - Gouvion-Saint-Cyr;5;3;2;28;2025-06-05 12:04:11;2025-06-05;12;Thursday
5016;Thouin - Cardinal Lemoine;10;0;10;7;2025-06-05 12:03:46;2025-06-05;12;Thursday
15047;Morillons - Dantzig;1;1;0;51;2025-06-05 12:03:49;2025-06-05;12;Thursday
17026;Jouffroy d'Abbans - Wagram;10;7;3;29;2025-06-05 12:03:58;2025-06-05;12;Thursday
6021;Beaux-Arts - Bonaparte;19;15;4;0;2025-06-05 12:00:16;2025-06-05;12;Thursday
12109;Mairie du 12ème;3;3;0;26;2025-06-05 11:59:38;2025-06-05;11;Thursday
40016;Sarrazins - Saussure;0;0;0;22;2025-02-05 10:35:03;2025-02-05;10;Wednesday
2022;Saint-Fiacre - Poissonière;26;15;11;7;2025-06-05 12:04:37;2025-06-05;12;Thursday
19033;Cambrai - Benjamin Constant;7;2;5;35;2025-06-05 11:57:28;2025-06-05;11;Thursday
21326;Moulin de Pierre - Abbé Grégoire;1;0;1;19;2025-06-05 11:55:52;2025-06-05;11;Thursday
43002;Lagny - Victor Basch;9;9;0;17;2025-06-05 12:01:40;2025-06-05;12;Thursday
16138;Saint-Cloud - Hippodrome;3;3;0;26;2025-06-05 12:03:42;2025-06-05;12;Thursday
21216;Louis Lejeune - Barbès;3;0;3;22;2025-06-05 12:02:39;2025-06-05;12;Thursday
15068;Général Martial Valin - Pont du Garigliano;8;2;6;7;2025-06-05 12:04:48;2025-06-05;12;Thursday
44017;Jules Guesde - Pont du Port à l'Anglais;25;23;2;3;2025-06-05 12:04:35;2025-06-05;12;Thursday
14013;Liard - Amiral Mouchez;3;0;3;23;2025-06-05 12:04:34;2025-06-05;12;Thursday
13118;Regnault - Patay;55;52;3;6;2025-06-05 12:04:40;2025-06-05;12;Thursday
15112;Vigée-Lebrun - Anselme Payen;3;0;3;21;2025-06-05 11:58:11;2025-06-05;11;Thursday
13030;Italie - Tolbiac;5;0;5;15;2025-06-05 12:04:19;2025-06-05;12;Thursday
19027;Serrurier;0;0;0;0;2025-05-21 06:48:59;2025-05-21;6;Wednesday
18111;Félix Ziem - Armand Gauthier;1;0;1;24;2025-06-05 12:01:49;2025-06-05;12;Thursday
9002;Abbeville - Faubourg Poissonnière;3;0;3;10;2025-06-05 12:03:07;2025-06-05;12;Thursday
43009;Place Jean-Spire-Lemaître;4;2;2;46;2025-06-05 12:04:48;2025-06-05;12;Thursday
17032;Jean Oestreicher - Porte de Champerret;7;5;2;14;2025-06-05 12:04:52;2025-06-05;12;Thursday
12031;Gabriel Lamé;32;30;2;1;2025-06-05 12:04:35;2025-06-05;12;Thursday
