station_id;name;numbikesavailable;mechanical;ebike;numdocksavailable;timestamp;date;hour;weekday
40001;Hôpital Mondor;20;11;9;7;2025-06-05 07:03:59;2025-06-05;7;Thursday
44015;Rouget de L'isle - Watteau;13;4;9;7;2025-06-05 07:03:34;2025-06-05;7;Thursday
9020;Toudouze - Clauzel;0;0;0;21;2025-06-05 07:04:14;2025-06-05;7;Thursday
14014;Jourdan - Stade Charléty;11;5;6;47;2025-06-05 07:02:55;2025-06-05;7;Thursday
11104;Charonne - Robert et Sonia Delaunay;0;0;0;20;2025-06-05 07:00:07;2025-06-05;7;Thursday
8026;Messine - Place Du Pérou;11;8;3;1;2025-06-05 07:04:16;2025-06-05;7;Thursday
7002;Vaneau - Sèvres;7;3;4;25;2025-06-05 07:04:14;2025-06-05;7;Thursday
6108;Saint-Romain - Cherche-Midi;6;5;1;10;2025-06-05 07:03:24;2025-06-05;7;Thursday
25006;Place Nelson Mandela;1;0;1;20;2025-06-05 06:58:33;2025-06-05;6;Thursday
32304;Charcot - Benfleet;4;0;4;24;2025-06-05 07:00:23;2025-06-05;7;Thursday
5016;Thouin - Cardinal Lemoine;4;1;3;12;2025-06-05 07:01:51;2025-06-05;7;Thursday
11025;Froment - Bréguet;13;10;3;28;2025-06-05 07:04:12;2025-06-05;7;Thursday
15047;Morillons - Dantzig;0;0;0;52;2025-06-05 07:03:52;2025-06-05;7;Thursday
17026;Jouffroy d'Abbans - Wagram;5;1;4;35;2025-06-05 07:04:12;2025-06-05;7;Thursday
6021;Beaux-Arts - Bonaparte;10;6;4;9;2025-06-05 07:04:15;2025-06-05;7;Thursday
13101;Croulebarde - Corvisart;22;20;2;11;2025-06-05 07:04:03;2025-06-05;7;Thursday
14108;Le Brix et Mesmin - Jourdan;2;0;2;19;2025-06-05 07:00:21;2025-06-05;7;Thursday
31024;Romainville - Vaillant-Couturier;3;2;1;35;2025-06-05 07:00:44;2025-06-05;7;Thursday
40016;Sarrazins - Saussure;0;0;0;22;2025-02-05 10:35:03;2025-02-05;10;Wednesday
17044;Porte de Saint-Ouen - Bessières;6;4;2;35;2025-06-05 07:03:48;2025-06-05;7;Thursday
17025;Chazelles - Courcelles;4;2;2;29;2025-06-05 07:03:46;2025-06-05;7;Thursday
21326;Moulin de Pierre - Abbé Grégoire;0;0;0;20;2025-06-05 07:02:58;2025-06-05;7;Thursday
20143;Ramponeau - Belleville;2;1;1;42;2025-06-05 07:01:57;2025-06-05;7;Thursday
43002;Lagny - Victor Basch;20;12;8;5;2025-06-05 07:03:14;2025-06-05;7;Thursday
16138;Saint-Cloud - Hippodrome;7;5;2;22;2025-06-05 07:01:22;2025-06-05;7;Thursday
15068;Général Martial Valin - Pont du Garigliano;9;7;2;6;2025-06-05 07:03:24;2025-06-05;7;Thursday
92002;Théâtre des Amandiers - Palais des sports;5;1;4;18;2025-06-05 07:02:22;2025-06-05;7;Thursday
17048;De Toqueville - Terrasse;0;0;0;28;2025-06-05 06:55:06;2025-06-05;6;Thursday
44017;Jules Guesde - Pont du Port à l'Anglais;26;22;4;2;2025-06-05 07:04:12;2025-06-05;7;Thursday
44010;8 Mai 1945 - 10 Juillet 1940;26;19;7;3;2025-06-05 07:04:07;2025-06-05;7;Thursday
16118;Michel-Ange - Parent de Rosan;2;2;0;23;2025-06-05 07:02:46;2025-06-05;7;Thursday
2017;Caire - Dussoubs;3;2;1;37;2025-06-05 07:04:03;2025-06-05;7;Thursday
8103;Artois - Berri;23;14;9;0;2025-06-05 07:02:03;2025-06-05;7;Thursday
8048;Marceau - Chaillot;17;5;12;2;2025-06-05 07:03:37;2025-06-05;7;Thursday
14013;Liard - Amiral Mouchez;8;6;2;18;2025-06-05 07:04:14;2025-06-05;7;Thursday
13030;Italie - Tolbiac;4;1;3;15;2025-06-05 07:03:15;2025-06-05;7;Thursday
19027;Serrurier;0;0;0;0;2025-05-21 06:48:59;2025-05-21;6;Wednesday
18111;Félix Ziem - Armand Gauthier;1;0;1;24;2025-06-05 06:59:08;2025-06-05;6;Thursday
9002;Abbeville - Faubourg Poissonnière;1;1;0;11;2025-06-05 07:03:27;2025-06-05;7;Thursday
48003;Youri Gagarine - Karl Marx;1;0;1;20;2025-06-05 07:04:02;2025-06-05;7;Thursday
9001;Bellefond - Poissonnière;1;1;0;14;2025-06-05 07:04:09;2025-06-05;7;Thursday
41303;Gare de Nogent-le-Perreux;24;22;2;8;2025-06-05 07:03:33;2025-06-05;7;Thursday
5022;Boulangers - Cardinal Lemoine;5;4;1;15;2025-06-05 07:01:36;2025-06-05;7;Thursday
21328;Verger - Colonel Guichard;2;0;2;27;2025-06-05 06:59:16;2025-06-05;6;Thursday
13104;Gare d'Austerlitz - Quai Saint-Bernard;9;7;2;18;2025-06-05 07:03:34;2025-06-05;7;Thursday
17040;Pereire - Ternes;4;3;1;44;2025-06-05 07:02:01;2025-06-05;7;Thursday
9038;Douai - Bruxelles;4;2;2;23;2025-06-05 07:03:16;2025-06-05;7;Thursday
8009;Gare Saint-Lazare - Isly;2;1;1;24;2025-06-05 07:03:05;2025-06-05;7;Thursday
9014;Faubourg Montmartre - La Fayette;10;6;4;24;2025-06-05 07:04:08;2025-06-05;7;Thursday
9022;Rossini - Laffitte;30;15;15;2;2025-06-05 07:04:00;2025-06-05;7;Thursday
26003;Argenteuil - Voltaire;4;4;0;10;2025-06-05 07:01:36;2025-06-05;7;Thursday
17004;Legendre - Clichy;1;1;0;39;2025-06-05 07:03:26;2025-06-05;7;Thursday
19003;Quai de la Seine;3;2;1;19;2025-06-05 07:03:05;2025-06-05;7;Thursday
92007;Pesaro - Préfecture;11;2;9;11;2025-06-05 07:02:51;2025-06-05;7;Thursday
16026;Ranelagh - Mozart;2;0;2;6;2025-06-05 07:01:48;2025-06-05;7;Thursday
17043;Belidor - Gouvion-Saint-Cyr;0;0;0;39;2025-06-05 07:04:13;2025-06-05;7;Thursday
16039;Exelmans - Versailles;4;3;1;44;2025-06-05 07:03:39;2025-06-05;7;Thursday
11023;Saint-Maur - Roquette;14;12;2;30;2025-06-05 07:01:37;2025-06-05;7;Thursday
8034;Berri - Haussmann;34;14;20;0;2025-06-05 07:02:36;2025-06-05;7;Thursday
11047;Amelot - Saint-Sébastien;7;5;2;21;2025-06-05 07:02:55;2025-06-05;7;Thursday
19043;Delphine Seyrig - Général Leclerc;8;1;7;43;2025-06-05 07:03:30;2025-06-05;7;Thursday
5032;Panthéon - Valette;11;3;8;26;2025-06-05 07:03:51;2025-06-05;7;Thursday
17030;Pereire - Rennequin;2;0;2;20;2025-06-05 07:03:44;2025-06-05;7;Thursday
11027;Saint-Ambroise - Parmentier;6;4;2;32;2025-06-05 07:04:13;2025-06-05;7;Thursday
12128;Pyramide - Ecole du Breuil;13;10;3;21;2025-06-05 06:59:40;2025-06-05;6;Thursday
8010;Liège - Moscou;2;1;1;15;2025-06-05 07:03:37;2025-06-05;7;Thursday
31022;Mairie de Montreuil;16;15;1;33;2025-06-05 07:02:02;2025-06-05;7;Thursday
46002;Rouget de Lisle;16;11;5;19;2025-06-05 07:04:12;2025-06-05;7;Thursday
41302;Charles de Gaulle - Beauté;1;0;1;46;2025-06-05 06:59:22;2025-06-05;6;Thursday
14020;Cimetière de Montrouge;4;3;1;54;2025-06-05 06:59:56;2025-06-05;6;Thursday
15042;Henry Farman;14;3;11;2;2025-06-05 07:01:20;2025-06-05;7;Thursday
18011;Pajol - Place Herbert;2;2;0;36;2025-06-05 07:03:41;2025-06-05;7;Thursday
21212;Marne - Germain Dardan;3;1;2;15;2025-06-05 07:03:00;2025-06-05;7;Thursday
19120;Carducci - Place Hannah Arendt;0;0;0;26;2025-06-05 07:04:13;2025-06-05;7;Thursday
18003;Cimetière de Montmartre;1;1;0;42;2025-06-05 06:59:22;2025-06-05;6;Thursday
15104;Hôpital Européen Georges Pompidou;61;55;6;1;2025-06-05 07:04:02;2025-06-05;7;Thursday
5018;Mutualité;2;1;1;32;2025-06-05 07:02:22;2025-06-05;7;Thursday
19101;Square Simon Bolivar;1;0;1;23;2025-06-05 07:02:04;2025-06-05;7;Thursday
12114;Victor Hugo - Jeanne Jugan;1;0;1;26;2025-06-05 07:02:09;2025-06-05;7;Thursday
41209;Cimetière de Fontenay-sous-Bois;0;0;0;15;2025-06-05 07:02:37;2025-06-05;7;Thursday
21312;Lucie Aubrac - Fort;0;0;0;30;2025-06-05 07:02:24;2025-06-05;7;Thursday
13001;Port-Royal - Hôpital du Val-de-Grâce;0;0;0;18;2025-06-05 07:03:52;2025-06-05;7;Thursday
18028;Championnet - Vauvenargues;3;0;3;29;2025-06-05 07:02:13;2025-06-05;7;Thursday
8017;Rocher - Laborde;11;9;2;54;2025-06-05 07:03:52;2025-06-05;7;Thursday
15106;Grenelle - Violet;12;7;5;20;2025-06-05 07:02:23;2025-06-05;7;Thursday
5124;Erasme - Ulm;5;0;5;19;2025-06-05 07:04:14;2025-06-05;7;Thursday
18046;Etienne Jodelle - Saint Ouen;0;0;0;33;2025-06-05 06:57:01;2025-06-05;6;Thursday
2111;Chabanais - Petits Champs;8;6;2;22;2025-06-05 07:03:41;2025-06-05;7;Thursday
18022;Marcadet - Barbès;3;0;3;33;2025-06-05 07:02:27;2025-06-05;7;Thursday
8054;Bertie Albrecht - Hoche;19;10;9;13;2025-06-05 07:04:13;2025-06-05;7;Thursday
10042;Enghien - Faubourg Poissonnière;3;1;2;28;2025-06-05 07:04:15;2025-06-05;7;Thursday
17203;Place de la Porte de Champeret;1;1;0;26;2025-06-05 07:04:01;2025-06-05;7;Thursday
42014;Place Marcel Cachin;23;22;1;9;2025-06-05 07:03:21;2025-06-05;7;Thursday
46003;Conservatoire de Musique;0;0;0;25;2025-06-05 07:00:34;2025-06-05;7;Thursday
15110;Place Robert Guillemard;18;16;2;5;2025-06-05 07:02:58;2025-06-05;7;Thursday
16202;Commandant Schloesing - Pétrarque;0;0;0;30;2025-05-23 15:36:48;2025-05-23;15;Friday
44003;Gabriel Péri - Danielle Casanova;13;12;1;7;2025-06-05 06:57:50;2025-06-05;6;Thursday
22203;Tertres - Fontaine;10;9;1;18;2025-06-05 07:04:13;2025-06-05;7;Thursday
41202;Gare Rer de Fontenay sous Bois;34;30;4;23;2025-06-05 07:01:55;2025-06-05;7;Thursday
42021;Raspail - Manufacture des Oeillets;27;24;3;5;2025-06-05 07:04:16;2025-06-05;7;Thursday
1119;Cossonnerie - Sébastopol;10;4;6;15;2025-06-05 07:02:27;2025-06-05;7;Thursday
35020;Marcelle - Thalie;1;0;1;18;2025-06-05 06:59:54;2025-06-05;6;Thursday
31003;Paris - Emile Zola;10;7;3;20;2025-06-05 07:04:14;2025-06-05;7;Thursday
6025;Assas - Rennes;4;2;2;28;2025-06-05 07:03:54;2025-06-05;7;Thursday
11030;Oberkampf - République;2;1;1;22;2025-06-05 07:04:08;2025-06-05;7;Thursday
17013;Legendre - Dulong;0;0;0;23;2025-06-05 07:03:52;2025-06-05;7;Thursday
32604;Square du Théâtre du Garde-Chasse;1;0;1;48;2025-06-05 07:02:07;2025-06-05;7;Thursday
19024;Botzaris - Parc des Buttes Chaumont;0;0;0;20;2025-06-05 07:02:28;2025-06-05;7;Thursday
23006;Jules Guesde - Alsace;17;10;7;8;2025-06-05 07:04:09;2025-06-05;7;Thursday
17105;Place Madeleine Daniélou;7;7;0;34;2025-06-05 07:04:01;2025-06-05;7;Thursday
11105;Parmentier - République;2;1;1;20;2025-06-05 07:04:07;2025-06-05;7;Thursday
16108;Sablons - Georges Mandel;1;1;0;37;2025-06-05 07:02:41;2025-06-05;7;Thursday
19032;Villette - Belleville;10;4;6;29;2025-06-05 07:04:12;2025-06-05;7;Thursday
21701;Larmeroux - Baudelaire;4;2;2;25;2025-06-05 07:03:09;2025-06-05;7;Thursday
16008;Galilée - Kléber;16;4;12;14;2025-06-05 07:01:24;2025-06-05;7;Thursday
11024;Mairie du 11ème;12;8;4;39;2025-06-05 07:03:20;2025-06-05;7;Thursday
19022;Marché Secrétan;7;1;6;18;2025-06-05 07:04:07;2025-06-05;7;Thursday
13050;Quai Panhard et Levassor;52;45;7;4;2025-06-05 06:57:58;2025-06-05;6;Thursday
