station_id;name;numbikesavailable;mechanical;ebike;numdocksavailable;timestamp;date;hour;weekday
44015;Rouget de L'isle - Watteau;13;5;8;7;2025-06-05 11:04:37;2025-06-05;11;Thursday
14111;Cassini - Denfert-Rochereau;5;3;2;19;2025-06-05 11:03:02;2025-06-05;11;Thursday
14014;Jourdan - Stade Charléty;4;2;2;54;2025-06-05 11:04:44;2025-06-05;11;Thursday
32017;Basilique;5;2;3;17;2025-06-05 11:02:03;2025-06-05;11;Thursday
8026;Messine - Place Du Pérou;5;2;3;7;2025-06-05 11:00:28;2025-06-05;11;Thursday
6003;Saint-Sulpice;9;4;5;9;2025-06-05 11:04:39;2025-06-05;11;Thursday
7002;Vaneau - Sèvres;2;1;1;30;2025-06-05 11:02:08;2025-06-05;11;Thursday
6108;Saint-Romain - Cherche-Midi;1;1;0;16;2025-06-05 11:03:03;2025-06-05;11;Thursday
40011;Bas du Mont-Mesly;25;16;9;2;2025-06-05 10:59:43;2025-06-05;10;Thursday
21010;Silly - Galliéni;12;11;1;12;2025-06-05 10:58:09;2025-06-05;10;Thursday
25006;Place Nelson Mandela;2;0;2;19;2025-06-05 11:00:32;2025-06-05;11;Thursday
17041;Guersant - Gouvion-Saint-Cyr;4;3;1;29;2025-06-05 11:02:43;2025-06-05;11;Thursday
15047;Morillons - Dantzig;0;0;0;52;2025-06-05 11:03:16;2025-06-05;11;Thursday
6021;Beaux-Arts - Bonaparte;16;14;2;3;2025-06-05 11:03:30;2025-06-05;11;Thursday
15202;Bracion - Périphérique;5;2;3;24;2025-06-05 11:04:17;2025-06-05;11;Thursday
13101;Croulebarde - Corvisart;31;23;8;2;2025-06-05 11:04:08;2025-06-05;11;Thursday
14108;Le Brix et Mesmin - Jourdan;1;0;1;20;2025-06-05 10:58:46;2025-06-05;10;Thursday
31024;Romainville - Vaillant-Couturier;2;1;1;36;2025-06-05 11:02:39;2025-06-05;11;Thursday
40016;Sarrazins - Saussure;0;0;0;22;2025-02-05 10:35:03;2025-02-05;10;Wednesday
19033;Cambrai - Benjamin Constant;6;1;5;36;2025-06-05 11:02:00;2025-06-05;11;Thursday
17025;Chazelles - Courcelles;3;1;2;30;2025-06-05 11:00:56;2025-06-05;11;Thursday
43002;Lagny - Victor Basch;10;9;1;16;2025-06-05 11:04:36;2025-06-05;11;Thursday
21216;Louis Lejeune - Barbès;1;0;1;24;2025-06-05 11:01:17;2025-06-05;11;Thursday
15068;Général Martial Valin - Pont du Garigliano;6;3;3;9;2025-06-05 11:04:20;2025-06-05;11;Thursday
31028;Raspail Barbès;2;1;1;26;2025-06-05 10:55:48;2025-06-05;10;Thursday
44017;Jules Guesde - Pont du Port à l'Anglais;24;22;2;4;2025-06-05 11:04:26;2025-06-05;11;Thursday
44010;8 Mai 1945 - 10 Juillet 1940;23;17;6;6;2025-06-05 11:01:51;2025-06-05;11;Thursday
16118;Michel-Ange - Parent de Rosan;3;3;0;22;2025-06-05 11:04:05;2025-06-05;11;Thursday
9008;Tour d'Auvergne - Rodier;1;1;0;15;2025-06-05 11:04:17;2025-06-05;11;Thursday
19027;Serrurier;0;0;0;0;2025-05-21 06:48:59;2025-05-21;6;Wednesday
18111;Félix Ziem - Armand Gauthier;2;0;2;23;2025-06-05 11:02:47;2025-06-05;11;Thursday
9002;Abbeville - Faubourg Poissonnière;0;0;0;13;2025-06-05 11:04:45;2025-06-05;11;Thursday
48003;Youri Gagarine - Karl Marx;1;0;1;20;2025-06-05 10:59:21;2025-06-05;10;Thursday
43009;Place Jean-Spire-Lemaître;5;2;3;45;2025-06-05 11:01:28;2025-06-05;11;Thursday
10115;Granges aux Belles;1;0;1;25;2025-06-05 11:01:47;2025-06-05;11;Thursday
10029;Dunkerque - Rocroy;1;0;1;22;2025-06-05 11:02:09;2025-06-05;11;Thursday
12031;Gabriel Lamé;33;30;3;0;2025-06-05 11:03:37;2025-06-05;11;Thursday
21328;Verger - Colonel Guichard;2;0;2;27;2025-06-05 11:01:17;2025-06-05;11;Thursday
13104;Gare d'Austerlitz - Quai Saint-Bernard;11;8;3;16;2025-06-05 10:58:09;2025-06-05;10;Thursday
31103;Gare Rosny-Bois-Perrier;16;7;9;18;2025-06-05 11:00:06;2025-06-05;11;Thursday
7018;Ségur - d'Estrées;8;8;0;11;2025-06-05 11:01:10;2025-06-05;11;Thursday
9014;Faubourg Montmartre - La Fayette;7;4;3;26;2025-06-05 11:04:46;2025-06-05;11;Thursday
19105;Ambroise Rendu - Porte Brunet;2;0;2;14;2025-06-05 11:01:52;2025-06-05;11;Thursday
31706;Château - République;2;0;2;22;2025-06-05 10:59:17;2025-06-05;10;Thursday
9022;Rossini - Laffitte;30;13;17;3;2025-06-05 11:02:16;2025-06-05;11;Thursday
26003;Argenteuil - Voltaire;7;1;6;9;2025-06-05 10:58:06;2025-06-05;10;Thursday
17004;Legendre - Clichy;2;1;1;38;2025-06-05 11:01:15;2025-06-05;11;Thursday
19003;Quai de la Seine;4;2;2;19;2025-06-05 11:02:05;2025-06-05;11;Thursday
5020;Institut du Monde Arabe - Saint-Germain;25;19;6;13;2025-06-05 11:04:45;2025-06-05;11;Thursday
92007;Pesaro - Préfecture;3;1;2;19;2025-06-05 10:59:34;2025-06-05;10;Thursday
16026;Ranelagh - Mozart;4;0;4;4;2025-06-05 11:01:52;2025-06-05;11;Thursday
9028;Moncey - Blanche;6;1;5;11;2025-06-05 11:01:55;2025-06-05;11;Thursday
10107;Gare du Nord - Hôpital Lariboisière;0;0;0;49;2025-06-05 11:03:25;2025-06-05;11;Thursday
26002;Redoute - Les Courtilles;23;22;1;15;2025-06-05 11:04:42;2025-06-05;11;Thursday
19026;Place de Rhin et Danube;1;0;1;14;2025-06-05 11:01:11;2025-06-05;11;Thursday
12111;Claude Decaen - Cannebière;4;2;2;41;2025-06-05 11:02:10;2025-06-05;11;Thursday
8034;Berri - Haussmann;35;15;20;0;2025-06-05 11:02:08;2025-06-05;11;Thursday
19043;Delphine Seyrig - Général Leclerc;3;0;3;49;2025-06-05 11:04:34;2025-06-05;11;Thursday
15067;Desaix - Edgar Faure;5;0;5;6;2025-06-05 11:04:32;2025-06-05;11;Thursday
17030;Pereire - Rennequin;5;2;3;17;2025-06-05 11:03:19;2025-06-05;11;Thursday
6006;Notre-Dame-des-Champs - Stanislas;10;3;7;9;2025-06-05 11:04:34;2025-06-05;11;Thursday
11027;Saint-Ambroise - Parmentier;1;0;1;37;2025-06-05 11:02:55;2025-06-05;11;Thursday
8010;Liège - Moscou;4;0;4;13;2025-06-05 11:03:55;2025-06-05;11;Thursday
31022;Mairie de Montreuil;9;3;6;41;2025-06-05 11:03:54;2025-06-05;11;Thursday
10016;Récollets - Square Villemin;4;1;3;13;2025-06-05 10:56:59;2025-06-05;10;Thursday
41302;Charles de Gaulle - Beauté;3;0;3;46;2025-06-05 11:01:24;2025-06-05;11;Thursday
14020;Cimetière de Montrouge;3;1;2;55;2025-06-05 11:00:47;2025-06-05;11;Thursday
33017;Anatole France - President Roosevelt;19;10;9;9;2025-06-05 11:03:43;2025-06-05;11;Thursday
33102;Gabriel Péri - Francisco Ferrer;1;0;1;16;2025-06-05 11:00:44;2025-06-05;11;Thursday
42706;Roger Salengro - Fontainebleau;5;3;2;20;2025-06-05 11:02:57;2025-06-05;11;Thursday
21212;Marne - Germain Dardan;1;0;1;18;2025-06-05 11:03:58;2025-06-05;11;Thursday
44006;Concorde - Stalingrad;8;4;4;25;2025-06-05 11:04:38;2025-06-05;11;Thursday
18003;Cimetière de Montmartre;2;1;1;41;2025-06-05 11:03:57;2025-06-05;11;Thursday
14003;Schoelcher - Raspail;0;0;0;50;2025-06-05 10:59:04;2025-06-05;10;Thursday
5018;Mutualité;14;10;4;20;2025-06-05 11:04:47;2025-06-05;11;Thursday
19101;Square Simon Bolivar;1;0;1;23;2025-06-05 11:04:08;2025-06-05;11;Thursday
4016;Lobau - Hôtel de Ville;0;0;0;60;2025-06-05 10:59:25;2025-06-05;10;Thursday
14138;Porte de Vanves;3;1;2;27;2025-06-05 11:04:28;2025-06-05;11;Thursday
12114;Victor Hugo - Jeanne Jugan;1;1;0;26;2025-06-05 11:02:55;2025-06-05;11;Thursday
41209;Cimetière de Fontenay-sous-Bois;1;0;1;14;2025-06-05 11:03:53;2025-06-05;11;Thursday
8017;Rocher - Laborde;3;1;2;62;2025-06-05 11:02:56;2025-06-05;11;Thursday
5124;Erasme - Ulm;19;0;19;5;2025-06-05 11:04:46;2025-06-05;11;Thursday
14106;Marc Sangnier - Porte de Vanves;3;0;3;18;2025-06-05 10:59:20;2025-06-05;10;Thursday
18046;Etienne Jodelle - Saint Ouen;1;0;1;32;2025-06-05 10:59:00;2025-06-05;10;Thursday
22406;Guy Môquet - Etienne Dolet;1;0;1;21;2025-06-05 10:57:29;2025-06-05;10;Thursday
